Date,Open,High,Low,Close,Adj Close,Volume
2008-06-06,13924.629883,13924.629883,13924.629883,13924.629883,13924.629883,0
2008-06-09,13916.990234,13916.990234,13916.990234,13916.990234,13916.990234,0
2008-06-10,13870.459961,13870.459961,13870.459961,13870.459961,13870.459961,0
2008-06-11,13639.019531,13639.019531,13639.019531,13639.019531,13639.019531,0
2008-06-12,13678.009766,13678.009766,13678.009766,13678.009766,13678.009766,0
2008-06-13,13889.660156,13889.660156,13889.660156,13889.660156,13889.660156,0
2008-06-16,13917.690430,13917.690430,13917.690430,13917.690430,13917.690430,0
2008-06-17,13840.849609,13840.849609,13840.849609,13840.849609,13840.849609,0
2008-06-18,13709.070313,13709.070313,13709.070313,13709.070313,13709.070313,0
2008-06-19,13758.809570,13758.809570,13758.809570,13758.809570,13758.809570,0
2008-06-20,13514.889648,13514.889648,13514.889648,13514.889648,13514.889648,0
2008-06-23,13495.709961,13495.709961,13495.709961,13495.709961,13495.709961,0
2008-06-24,13421.410156,13421.410156,13421.410156,13421.410156,13421.410156,0
2008-06-25,13507.120117,13507.120117,13507.120117,13507.120117,13507.120117,0
2008-06-26,13125.120117,13125.120117,13125.120117,13125.120117,13125.120117,0
2008-06-27,13081.019531,13081.019531,13081.019531,13081.019531,13081.019531,0
2008-06-30,13073.540039,13073.540039,13073.540039,13073.540039,13073.540039,0
2008-07-01,13107.990234,13107.990234,13107.990234,13107.990234,13107.990234,0
2008-07-02,12842.330078,12842.330078,12842.330078,12842.330078,12842.330078,0
2008-07-03,12815.469727,12815.469727,12815.469727,12815.469727,12815.469727,0
2008-07-07,12703.669922,12703.669922,12703.669922,12703.669922,12703.669922,0
2008-07-08,12935.740234,12935.740234,12935.740234,12935.740234,12935.740234,0
2008-07-09,12658.150391,12658.150391,12658.150391,12658.150391,12658.150391,0
2008-07-10,12746.269531,12746.269531,12746.269531,12746.269531,12746.269531,0
2008-07-11,12635.429688,12635.429688,12635.429688,12635.429688,12635.429688,0
2008-07-14,12517.280273,12517.280273,12517.280273,12517.280273,12517.280273,0
2008-07-15,12390.070313,12390.070313,12390.070313,12390.070313,12390.070313,0
2008-07-16,12703.559570,12703.559570,12703.559570,12703.559570,12703.559570,0
2008-07-17,12850.500000,12850.500000,12850.500000,12850.500000,12850.500000,0
2008-07-18,12843.509766,12843.509766,12843.509766,12843.509766,12843.509766,0
2008-07-21,12871.150391,12871.150391,12871.150391,12871.150391,12871.150391,0
2008-07-22,13048.410156,13048.410156,13048.410156,13048.410156,13048.410156,0
